File,aid,Date,1,2,11,31,51,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,201,202,203,204,205
Band1_2000042_aid0001,aid0001,2000-02-11,3092,542,39425,140705,95762,417,12111,28300,49280,67334,97016,127887,148434,148042,150391,118236,81414,71079,70945,64785,63405,54518,53559,49502,47842,39198,29479,25235,25308,25015,24069,20633,19487,19794,20075,18743,14951,10594,8153,5379,3818,2667,1658,602,176,1216989,1687790,987412,327159,40305
